iter	Passed	Remaining
0	2	2387
1	3	1993
2	5	1949
3	8	2148
4	10	2166
5	12	2148
6	14	2059
7	15	1965
8	17	1888
9	18	1816
10	19	1755
11	20	1710
12	21	1649
13	22	1597
14	23	1550
15	24	1495
16	24	1443
17	25	1405
18	26	1369
19	27	1335
20	27	1302
21	28	1266
22	29	1234
23	29	1204
24	30	1176
25	30	1151
26	31	1126
27	31	1105
28	32	1094
29	33	1076
30	34	1063
31	34	1046
32	35	1030
33	35	1014
34	36	999
35	36	985
36	37	971
37	37	959
38	38	946
39	38	934
40	39	923
41	40	913
42	40	906
43	41	899
44	41	889
45	42	880
46	43	872
47	43	864
48	44	856
49	44	849
50	45	841
51	45	834
52	46	827
53	46	821
54	47	815
55	48	809
56	48	804
57	49	798
58	49	793
59	50	787
60	50	782
61	51	776
62	51	771
63	52	767
64	52	762
65	53	757
66	54	753
67	54	748
68	55	745
69	56	744
70	56	740
71	57	736
72	57	734
73	58	731
74	58	727
75	59	724
76	60	720
77	60	717
78	61	713
79	61	711
80	62	709
81	63	707
82	63	701
83	64	698
84	64	695
85	65	693
86	65	691
87	66	689
88	67	687
89	67	685
90	68	683
91	69	681
92	69	679
93	70	678
94	71	678
95	71	676
96	72	674
97	73	672
98	73	670
99	74	669
100	75	667
101	75	665
102	76	666
103	77	665
104	77	663
105	78	662
106	79	660
107	79	659
108	80	658
109	81	656
110	81	655
111	82	653
112	83	652
113	83	650
114	84	649
115	84	647
116	85	646
117	86	647
118	87	646
119	87	645
120	88	643
121	89	641
122	90	643
123	90	642
124	91	641
125	92	640
126	92	637
127	93	636
128	94	635
129	94	633
130	95	632
131	96	631
132	96	629
133	97	628
134	97	627
135	98	626
136	99	625
137	99	623
138	100	622
139	101	623
140	102	622
141	102	619
142	103	618
143	103	617
144	104	616
145	105	615
146	105	614
147	106	613
148	107	613
149	108	612
150	108	611
151	109	610
152	110	609
153	110	608
154	111	606
155	111	605
156	112	604
157	113	603
158	113	602
159	114	601
160	114	598
161	115	598
162	116	598
163	117	599
164	118	599
165	119	599
166	120	598
167	120	598
168	121	597
169	122	596
170	122	595
171	123	594
172	124	593
173	124	592
174	125	591
175	126	590
176	126	589
177	127	588
178	128	587
179	128	585
180	129	585
181	130	585
182	131	586
183	132	587
184	133	586
185	133	586
186	134	585
187	135	584
188	135	583
189	136	582
190	137	581
191	138	580
192	138	580
193	139	579
194	140	578
195	140	577
196	141	576
197	142	575
198	142	574
199	143	573
200	143	572
201	145	572
202	145	572
203	146	571
204	147	571
205	148	570
206	148	569
207	149	568
208	150	567
209	150	567
210	151	566
211	152	565
212	152	564
213	153	563
214	154	562
215	154	562
216	155	561
217	156	560
218	156	559
219	157	558
220	158	558
221	159	557
222	159	556
223	160	556
224	161	555
225	162	555
226	162	554
227	163	553
228	164	552
229	164	551
230	165	550
231	166	549
232	166	548
233	167	547
234	167	546
235	168	545
236	169	544
237	169	543
238	170	542
239	171	541
240	171	540
241	172	541
242	173	540
243	174	539
244	174	538
245	175	537
246	176	537
247	177	536
248	177	535
249	178	534
250	178	533
251	179	532
252	180	531
253	180	530
254	181	529
255	182	528
256	182	528
257	183	527
258	184	526
259	184	525
260	185	525
261	186	524
262	187	524
263	187	524
264	188	523
265	189	522
266	189	521
267	190	520
268	191	519
269	191	518
270	192	518
271	193	517
272	193	516
273	194	515
274	195	515
275	196	514
276	196	513
277	197	513
278	198	512
279	199	511
280	200	512
281	201	512
282	201	511
283	202	510
284	203	510
285	203	509
286	204	508
287	205	507
288	206	506
289	207	507
290	207	506
291	208	505
292	209	504
293	209	504
294	210	503
295	211	503
296	212	502
297	213	501
298	214	502
299	215	502
300	216	501
301	216	501
302	217	500
303	218	499
304	218	498
305	219	497
306	220	496
307	220	495
308	221	495
309	222	495
310	223	494
311	223	493
312	224	492
313	225	492
314	226	491
315	226	490
316	227	490
317	228	490
318	229	489
319	230	489
320	231	488
321	231	488
322	232	487
323	233	487
324	234	487
325	235	486
326	236	485
327	237	485
328	238	486
329	239	485
330	239	484
331	240	484
332	241	483
333	242	483
334	243	483
335	244	482
336	245	483
337	246	482
338	247	482
339	248	481
340	248	480
341	249	480
342	250	479
343	251	478
344	252	478
345	253	478
346	254	478
347	255	478
348	256	477
349	257	477
350	257	476
351	258	476
352	259	475
353	260	475
354	261	474
355	262	474
356	262	473
357	263	473
358	264	472
359	265	472
360	267	473
361	269	474
362	270	474
363	271	475
364	273	475
365	273	474
366	274	473
367	275	472
368	276	472
369	277	471
370	277	471
371	278	470
372	279	469
373	280	469
374	281	468
375	283	469
376	284	469
377	285	469
378	285	468
379	286	467
380	287	467
381	288	466
382	288	465
383	289	464
384	290	464
385	291	463
386	292	462
387	293	462
388	294	461
389	294	461
390	296	461
391	297	461
392	298	461
393	300	461
394	301	461
395	301	460
396	302	459
397	303	459
398	304	458
399	305	457
400	305	456
401	306	456
402	307	455
